lncRNA,TCGA-IB-A6UG-01A,TCGA-3A-A9IU-01A,TCGA-FB-A545-01A,TCGA-IB-AAUQ-01A,TCGA-HV-A5A3-01A,TCGA-IB-7897-01A,TCGA-HV-AA8V-01A,TCGA-HV-A5A5-01A,TCGA-M8-A5N4-01A,TCGA-3A-A9IJ-01A,TCGA-HZ-8637-01A,TCGA-IB-AAUN-01A,TCGA-IB-AAUW-01A,TCGA-IB-7888-01A,TCGA-2L-AAQA-01A,TCGA-RB-A7B8-01A,TCGA-2L-AAQM-01A,TCGA-2J-AABE-01A,TCGA-IB-7889-01A,TCGA-IB-A6UF-01A,TCGA-F2-A8YN-01A,TCGA-F2-A44H-01A,TCGA-YH-A8SY-01A,TCGA-3A-A9IC-01A,TCGA-HZ-A4BK-01A,TCGA-Z5-AAPL-01A,TCGA-H6-A45N-01A,TCGA-HZ-A4BH-01A,TCGA-F2-A7TX-01A,TCGA-Q3-A5QY-01A,TCGA-F2-A44G-01A,TCGA-HZ-A49G-01A,TCGA-HZ-8005-01A,TCGA-HZ-8001-01A,TCGA-LB-A7SX-01A,TCGA-HV-A5A6-01A,TCGA-HZ-8003-01A,TCGA-IB-AAUS-01A,TCGA-HZ-A77P-01A,TCGA-US-A77E-01A,TCGA-IB-7890-01A,TCGA-LB-A9Q5-01A,TCGA-IB-7644-01A,TCGA-2J-AABT-01A,TCGA-2J-AAB1-01A,TCGA-HZ-7920-01A,TCGA-3A-A9IL-01A,TCGA-2J-AABI-01A,TCGA-IB-7647-01A,TCGA-IB-A5SS-01A,TCGA-S4-A8RO-01A,TCGA-IB-A5ST-01A,TCGA-HZ-7918-01A,TCGA-XD-AAUI-01A,TCGA-IB-AAUO-01A,TCGA-PZ-A5RE-01A,TCGA-2J-AABA-01A,TCGA-HV-A5A4-01A,TCGA-3A-A9IZ-01A,TCGA-XD-AAUL-01A,TCGA-IB-7886-01A,TCGA-S4-A8RM-01A,TCGA-HZ-A49H-01A,TCGA-HZ-8636-01A,TCGA-IB-AAUU-01A,TCGA-IB-7885-01A,TCGA-2J-AABO-01A,TCGA-HZ-A8P1-01A,TCGA-2J-AABV-01A,TCGA-US-A77G-01A,TCGA-US-A774-01A,TCGA-HZ-7919-01A,TCGA-2J-AABU-01A,TCGA-IB-7651-01A,TCGA-HZ-8315-01A,TCGA-2L-AAQL-01A,TCGA-IB-7893-01A,TCGA-FB-A7DR-01A,TCGA-FB-AAPS-01A,TCGA-IB-AAUP-01A,TCGA-3A-A9IS-01A,TCGA-3A-A9I7-01A,TCGA-2J-AABP-01A,TCGA-HV-A7OL-01A,TCGA-F2-6879-01A,TCGA-FB-A4P6-01A,TCGA-HV-A7OP-01A,TCGA-HZ-7922-01A,TCGA-FB-AAPU-01A,TCGA-3A-A9IX-01A,TCGA-HZ-8317-01A,TCGA-3A-A9J0-01A,TCGA-FB-A4P5-01A,TCGA-3E-AAAZ-01A,TCGA-3E-AAAY-01A,TCGA-H6-8124-01A,TCGA-2L-AAQI-01A,TCGA-HZ-A8P0-01A,TCGA-3A-A9I5-01A,TCGA-YB-A89D-01A,TCGA-2J-AABH-01A,TCGA-IB-7646-01A,TCGA-US-A776-01A,TCGA-IB-A5SO-01A,TCGA-FB-AAQ0-01A,TCGA-RB-AA9M-01A,TCGA-IB-A5SP-01A,TCGA-HZ-A77Q-01A,TCGA-IB-7654-01A,TCGA-3A-A9IN-01A,TCGA-3A-A9IV-01A,TCGA-3A-A9IR-01A,TCGA-IB-AAUV-01A,TCGA-HZ-7289-01A,TCGA-FB-AAPP-01A,TCGA-IB-A7LX-01A,TCGA-IB-A7M4-01A,TCGA-3A-A9IO-01A,TCGA-US-A779-01A,TCGA-2L-AAQE-01A,TCGA-FB-AAQ6-01A,TCGA-2J-AABK-01A,TCGA-HV-AA8X-01A,TCGA-IB-AAUM-01A,TCGA-H8-A6C1-01A,TCGA-F2-7273-01A,TCGA-FB-AAPY-01A,TCGA-FB-A78T-01A,TCGA-IB-8126-01A,TCGA-Q3-AA2A-01A,TCGA-HZ-8002-01A,TCGA-IB-A5SQ-01A,TCGA-HZ-A49I-01A,TCGA-HZ-7926-01A,TCGA-IB-AAUR-01A,TCGA-FB-A5VM-01A,TCGA-FB-AAQ3-01A,TCGA-2J-AABR-01A,TCGA-XN-A8T5-01A,TCGA-IB-8127-01A,TCGA-3A-A9IH-01A,TCGA-XD-AAUG-01A,TCGA-IB-7891-01A,TCGA-HZ-7925-01A,TCGA-2L-AAQJ-01A,TCGA-IB-7887-01A,TCGA-FB-AAQ1-01A,TCGA-S4-A8RP-01A,TCGA-FB-AAPQ-01A,TCGA-YY-A8LH-01A,TCGA-HZ-A77O-01A,TCGA-FB-AAPZ-01A,TCGA-FB-AAQ2-01A,TCGA-LB-A8F3-01A,TCGA-IB-7645-01A,TCGA-HZ-A9TJ-01A,TCGA-2J-AAB6-01A,TCGA-2J-AABF-01A,TCGA-XD-AAUH-01A,TCGA-2J-AAB9-01A,TCGA-OE-A75W-01A,TCGA-2J-AAB4-01A,TCGA-IB-7652-01A,TCGA-3A-A9I9-01A,TCGA-XN-A8T3-01A,TCGA-IB-7649-01A,TCGA-2J-AAB8-01A,TCGA-3A-A9IB-01A
AL161431.1,9.055282436,9.079484784,11.34429591,8.77148947,3.459431619,6.781359714,3.807354922,3.321928095,5.129283017,1,6.672425342,7.366322214,0,1,1.584962501,0,0,5.727920455,5.781359714,11.7652861,8.675957033,1.584962501,7.707359132,4.247927513,1,6.741466986,6.339850003,8.611024797,9.226412193,4.247927513,9.491853096,6.599912842,11.60455323,7.912889336,8.717676423,5.584962501,4.906890596,8.430452552,2.807354922,7.257387843,9.670656249,6.988684687,0,2.321928095,2.321928095,1.584962501,0,10.29347165,2.321928095,7.832890014,1.584962501,3.700439718,0,10.00702727,9.957102042,7.658211483,8.744833837,2,9.124121312,9.388017285,8.326429487,1,0,1.584962501,3.700439718,7.312882955,8.46760555,3,0,0,7.129283017,1,8.285402219,8.658211483,9.908392621,2.321928095,8.714245518,8.73809226,8.055282436,5.285402219,1,6.714245518,10.46250227,4.754887502,5.906890596,5.426264755,1,9.381542951,0,8.276124405,8.463524373,8.199672345,6.988684687,2.584962501,4.754887502,11.17367714,6.599912842,3,1.584962501,6.95419631,0,10.08081753,0,2.584962501,7.636624621,9.575539247,4.754887502,4.321928095,5.523561956,0,1,0,3.321928095,0,0,10.49485558,10.14720492,0,0,5.832890014,5.392317423,1,4.523561956,1,6.906890596,7.17990909,6.108524457,1,2,4.321928095,3.807354922,9.918863237,0,8.194756854,5.584962501,10.00982862,5.209453366,6.95419631,12.53211237,8.129283017,5.357552005,6.285402219,4.857980995,7,4.64385619,4.807354922,12.14815877,2,0,5.129283017,8.103287808,6.965784285,11.08347933,1,3,6.044394119,11.88950396,8.54303182,2.321928095,6.539158811,6.741466986,3.807354922,3.584962501,3.321928095,4.247927513,4.754887502,2,9.159871337
PRSS2,20.305779,16.61905931,11.25325658,11.99753235,5.807354922,9.159871337,11,14.13803176,5.392317423,1.584962501,8.581200582,18.77708512,18.20663762,16.53278205,15.78927891,11.14911199,5.459431619,15.2021621,18.89048398,16.44004185,12.65329295,19.08031789,10.51865316,11.38640142,15.37368083,4,13.78739247,10.09275714,18.48807548,7.139551352,14.48198858,18.52178061,13.11471839,13.55374927,6.95419631,8.927777962,21.08690591,12.2629757,15.39097501,7.169925001,8.566054038,20.36411862,10.14593215,7.74819285,14.56254057,12.31910758,8.845490051,6.459431619,13.28800089,7.14974712,12.3459596,12.72706956,19.87050771,15.50059295,13.67650808,7.523561956,6.044394119,10.33091688,13.90782954,14.32565681,12.00457162,10.21310422,18.37405033,13.59968043,14.86829205,12.45789384,17.09911148,13.16223396,21.85830547,17.73160409,18.50939229,15.21272435,6.375039431,15.56039255,16.56258529,15.76274537,9.729620744,14.1552926,14.31811909,11.12799432,3.169925001,13.13282101,2.584962501,8.577428828,16.07162995,16.42983169,4.95419631,17.82594012,9.30833903,19.18131,20.81959597,11.07280253,15.10496724,15.76471612,16.61712305,10.14593215,16.61154358,14.62719187,10.74399286,11.90839262,17.54882191,8.214319121,14.70352512,12.04848687,12.53770375,10.80735492,16.0278844,10.02513956,19.96377946,0,5.209453366,1.584962501,13.41600578,17.63107756,12.78708632,10.74483384,13.83910535,14.8110736,12.28800089,8.82336724,14.39700607,16.39553414,11.85252951,21.16013671,14.92230565,20.5955161,13.93792548,18.54049133,20.33580794,13.26985719,17.06406908,8.625708843,11.70476824,17.41634398,10.18858885,7.924812504,14.65172443,17.51257073,8.527477006,16.88841031,11.98797452,11.67242534,19.89885524,6,15.4700233,11.52991853,14.3818133,14.73730016,15.16828037,13.91129835,19.95154228,15.67256346,4.700439718,20.20705246,10.64475759,8.383704292,12.24436384,15.8343229,7.383704292,18.42775069,10.62388149,14.18997895,18.77139275,19.96424638,17.52311778,16.18617229,9.317412614,16.60330759
AL365226.1,5.169925001,5.832890014,2.321928095,11.06002035,1.584962501,7.475733431,8.459431619,9.586839788,10.48784003,1,2.584962501,5.882643049,4.700439718,3.169925001,9.911391988,4,1.584962501,0,7.918863237,3.584962501,0,6.918863237,7.285402219,7.787902559,5.491853096,0,5.169925001,0,7.392317423,1,9.829722735,8.768184325,10.96144969,3.700439718,2,11.86573327,7.417852515,3.906890596,3.584962501,5.044394119,1,6.108524457,9.451211112,8.988684687,8.224001674,1.584962501,1.584962501,4.392317423,4.857980995,4,2,8.13442632,5.614709844,9.030667136,2.584962501,5.169925001,3,4.523561956,7.64385619,4.169925001,3.700439718,9.152284842,7.6794801,6.988684687,10.75572215,11.17617315,8.471675214,9.754887502,9.438791853,11.49585503,7.434628228,6.768184325,5.044394119,9.060695932,6.022367813,4.584962501,7.044394119,4.087462841,3.584962501,10.09407769,0,8.82336724,0,5.357552005,7.707359132,4.392317423,1.584962501,4.321928095,7.169925001,8.50779464,10.16113188,1.584962501,2.584962501,3.321928095,7.982993575,8.839203788,4.754887502,10.63390341,2,7.971543554,10.72280753,5.781359714,11.59292416,4.169925001,12.0970445,4.459431619,6.108524457,3.321928095,11.61700823,2.321928095,0,1,3.700439718,9.063395081,6.977279923,1.584962501,2,3.321928095,7.807354922,4.754887502,8.894817763,10.36741475,6.06608919,9.744833837,5.754887502,6.832890014,11.07079181,11.32418055,9.28771238,10.32755264,5.754887502,2.321928095,9.539158811,9.335390355,1.584962501,2,10.22158712,8.933690655,5.832890014,6.22881869,8.599912842,7.665335917,7.924812504,3.807354922,10.56414949,12.00527366,3.906890596,5.169925001,9.957102042,9.82336724,7.686500527,8.764871591,10.41679753,6.882643049,0,11.56414949,1.584962501,9.192292814,1,8.703903573,11.47065887,10.09011242,6.523561956,10.86805085,4.169925001,9.447083226,1.584962501,10.16741815
SPRR3,4.247927513,11.70043972,10.56985561,5.977279923,9.592457037,3.807354922,11.20273604,6.894817763,4.64385619,0,4.807354922,10.62479546,6.375039431,0,12.96000193,7.87036472,0,11.19167615,10.34207467,4.087462841,11.63481105,1.584962501,10.28886607,8.199672345,5.807354922,6.64385619,9.379378367,7.189824559,8.005624549,3.169925001,10.10590851,8.164906927,4.523561956,13.43788209,5.727920455,2.584962501,5.321928095,9.471675214,5.857980995,5.977279923,8.22881869,8.980139578,5.044394119,2,10.06608919,10.20457114,3.584962501,2.584962501,2,6.209453366,9.997179481,1,2,7.768184325,4,6.741466986,10.51274046,5.523561956,5.247927513,10.98868469,7.209453366,8.129283017,1,9.797661526,4.087462841,4.087462841,8.379378367,11.3426303,4.321928095,3.169925001,1,6.741466986,5.672425342,3.169925001,7.087462841,9.199672345,2.584962501,10.89935692,6.022367813,0,0,5.426264755,0,9.826548487,5.832890014,6.321928095,0,5.857980995,9.419960178,8.724513853,8.980139578,8.370687407,6.087462841,11.03204573,8.005624549,6.942514505,11.62844554,9.364134655,7.108524457,8.169925001,11.23002044,7.330916878,0,10.62113611,8.016808288,11.07146236,9.649256178,8.022367813,6.442943496,0,0,0,3.459431619,0,0,8.977279923,6.539158811,0,6.857980995,7.960001932,9.645658432,6.442943496,10.26678654,5.169925001,5.285402219,5.857980995,3.584962501,7.741466986,3.169925001,6.832890014,3.584962501,10.25266543,1,10.666224,10.79116289,12.37395266,10.37177664,5.64385619,8.238404739,3,9.677719642,5.584962501,8.479780264,7.988684687,11.46147945,5.321928095,9.445014846,9.677719642,9.453270634,9.324180547,8.527477006,5.930737338,12.91867693,3,4.95419631,2.321928095,11.75447,6.303780748,6.554588852,4.523561956,8.098032083,7.491853096,9.084808388,3.807354922,1,4.459431619,9.355351096,4.906890596
LINC00443,3.321928095,4.64385619,6.906890596,5.781359714,5.64385619,2,3.321928095,7.936637939,7.924812504,0,6.022367813,6.539158811,8.519636253,8.103287808,11.09341756,10.71166697,3,7.46760555,2,5.129283017,4.247927513,1,2.807354922,3,8.087462841,0,5.247927513,5.087462841,0,5.807354922,6.491853096,7.129283017,0,3.584962501,5.781359714,2,3.584962501,3.169925001,4.247927513,4.857980995,9.457380879,7.294620749,6.727920455,5.95419631,6.906890596,6.906890596,2,0,6.794415866,0,7.554588852,5.614709844,3,4,7.330916878,7.851749041,1.584962501,1,1.584962501,4.523561956,4.523561956,9.428360173,7.434628228,7.965784285,4.459431619,5.459431619,10.13570929,9.743151394,3.906890596,6.14974712,6.768184325,5.754887502,1,9.705632387,4,8.426264755,0,5.857980995,6.459431619,3,0,7.727920455,0,9.068778278,8.727920455,4.087462841,2.807354922,6.832890014,9.09011242,6.977279923,7.900866808,2.807354922,4.169925001,4.754887502,8.592457037,6.14974712,5.169925001,6.50779464,2,9.204571144,9.670656249,3.321928095,0,5.754887502,9.995767151,7.21916852,10.60917874,4.392317423,6.247927513,1.584962501,0,0,3,0,1,7.636624621,2,1.584962501,10.78053977,0,7.475733431,8.535275377,9.905387005,7.707359132,8.74819285,6.209453366,5.129283017,10.68035952,5,9.167418146,3.906890596,1,5.459431619,10.16490693,5.044394119,1,8.717676423,4.523561956,4.169925001,4.857980995,2.584962501,1,8.312882955,8.686500527,7.672425342,5.321928095,5.247927513,8.682994584,5.357552005,7.169925001,3.700439718,3,2.321928095,4.95419631,9.442943496,6.781359714,2.584962501,7.876516947,7.95419631,1.584962501,9.353146825,8.647458426,1,0,2.807354922,6.942514505,8.383704292,7.50779464
LY6D,7.426264755,9.733015322,5.169925001,11.55362929,13.40514146,6.714245518,10.8494051,4.392317423,4.64385619,0,4.087462841,9.231221181,4.807354922,2,6.523561956,12.15671514,0,10.28886607,11.45738088,7.434628228,9.808964175,6.599912842,11.1221809,9.071462363,6.06608919,3.459431619,6.807354922,6.700439718,8.409390936,8.810571635,12.48003281,5.584962501,8.851749041,7.108524457,12.51249357,6.569855608,8.607330314,8.487840034,8.027905997,6.741466986,6.95419631,4.857980995,4.087462841,1.584962501,8.77148947,8.897845456,1,7.459431619,9.339850003,12.02894204,8.103287808,4.087462841,3.459431619,9.550746785,13.39740724,10.90839262,9.273795599,9.14974712,3.906890596,9.100662339,3.700439718,1,7.426264755,8.016808288,5.754887502,6.672425342,11.4278366,3.700439718,4.392317423,3.584962501,7.483815777,7.6794801,12.01715639,2.807354922,8.787902559,5.584962501,7.098032083,2,3.459431619,8.523561956,1,9.903881846,0,13.77540452,7.417852515,6.442943496,3.169925001,11.20762447,5.832890014,6.209453366,11.66133275,3.807354922,9.353146825,8.900866808,7.294620749,10.25738784,4.584962501,8.933690655,0,5.614709844,4.64385619,10.22158712,1,5.807354922,3.584962501,10.65821148,2.321928095,5.392317423,2.321928095,1.584962501,0,0,4.169925001,1,0,11.73428623,11.84352853,1.584962501,5.832890014,4.321928095,10.57175264,7.266786541,8.113742166,4,5.169925001,6.820178962,8.06608919,2.321928095,3.169925001,5.672425342,5.169925001,12.60686784,3.906890596,8.686500527,10.28424575,12.41098127,7.50779464,6.14974712,3,8.366322214,5.977279923,7.238404739,1,12.49560523,6.584962501,8.686500527,11.47725232,5.754887502,2,9.147204925,8.405141463,6.930737338,14.3662539,4.906890596,0,2.584962501,9.887220615,7.451211112,6.918863237,2,12.59222342,7.06608919,5.087462841,5.129283017,8.438791853,8.945443836,6.129283017,5.882643049
NLRP2,11.84862294,12.87363636,10.35204343,6.658211483,4.459431619,7.894817763,7.055282436,10.06474276,9.548821908,1,11.88531506,7.417852515,8.599912842,4.64385619,4.807354922,6.930737338,3.321928095,5.727920455,10.15987134,7.539158811,10.75154406,6.64385619,11.21127995,6.442943496,10.9432474,8.744833837,9.893301531,5.044394119,12.16741815,6.965784285,10.84549005,8.607330314,5.285402219,11.203348,10.61654884,4.087462841,7.330916878,9.449148645,9.864186145,6.475733431,10.14210706,8.77807713,11.49235395,4.087462841,10.62844554,8.357552005,6.741466986,4.906890596,12.35314683,6.442943496,11.40673648,5,10.27146303,8.233619677,10.90312868,10.5372184,2.321928095,3.459431619,9.550746785,5.459431619,7.294620749,10.95346896,9.691743519,12.86302471,7.169925001,7.303780748,4.169925001,9.722807531,8.744833837,7.06608919,11.38424412,11.2997804,9.299208018,8.797661526,7.912889336,5.247927513,11.23840474,7.330916878,6,10.99647349,3.807354922,9.56414949,7.607330314,10.44604941,5,6.686500527,3.584962501,4.087462841,11.46811489,6.794415866,10.35314683,4.64385619,7.864186145,11.2848241,5.700439718,4.523561956,2.321928095,10.14974712,3.584962501,11.29863541,8.54303182,4.857980995,4.64385619,3.321928095,3.584962501,11.41362793,6.129283017,10.26795708,5.554588852,5.977279923,3.321928095,4.64385619,7.330916878,1.584962501,0,10.64655871,5.285402219,1.584962501,6.820178962,2.807354922,4.247927513,8.442943496,11.41415668,7.994353437,6.857980995,7.539158811,7.761551232,10.87421293,9.68474862,10.28077077,6.339850003,10.36084708,4.64385619,8.994353437,9.829722735,10.97513146,9.773139207,9.693486957,7.17990909,7.22881869,12.1376316,7.554588852,10.89405985,5.087462841,10.45943162,11.48784003,10.68211676,6.459431619,9.294620749,6.266786541,12.10590851,10.05392588,11.7619667,8.614709844,6.303780748,6.62935662,6.781359714,11.99823782,7.62935662,8.124121312,10.71596199,11.40354468,7.375039431,9.714245518,6.523561956,10.13955135,3.321928095,5.882643049
ANKRD40CL,1,1,1.584962501,2,7.607330314,4.247927513,3.459431619,5.882643049,6.781359714,1,6.50779464,4.459431619,4.906890596,6.375039431,8.77807713,6.339850003,1.584962501,4.64385619,4.459431619,2,4.807354922,1.584962501,7.491853096,4.459431619,6.64385619,5.426264755,6.87036472,3.321928095,2,3.807354922,7.539158811,4.584962501,1.584962501,1.584962501,8.257387843,5.044394119,4.247927513,4,8.339850003,7.330916878,3.807354922,3.321928095,9.87036472,7.781359714,9.197216693,4.523561956,0,1,9.30833903,1,8.985841937,6.87036472,3,7.741466986,5.977279923,8.672425342,7.392317423,8.668884984,3.169925001,5.491853096,9.025139562,10.34983409,1.584962501,5.554588852,7.139551352,5.357552005,2.321928095,9.751544059,3.459431619,8.994353437,4.700439718,8.417852515,3.321928095,7.794415866,7.06608919,7.562242424,3,6.942514505,2,7.451211112,0,9.786269628,0,8.299208018,7.312882955,3.321928095,6.426264755,4.906890596,9.459431619,6.14974712,6.714245518,5.781359714,5.781359714,5.95419631,6,1.584962501,8.14974712,3,4.857980995,8.62935662,7.994353437,1,9.698704667,3.584962501,9.700439718,5.129283017,10.09011242,4.247927513,7.022367813,1.584962501,2,1.584962501,4.906890596,9.611024797,8.781359714,6.129283017,5.129283017,1.584962501,7.459431619,2.807354922,7.960001932,6,8.781359714,5.285402219,8.573647187,6.845490051,7.247927513,7.787902559,3,7.169925001,4,3.169925001,2.584962501,6.977279923,2,1,8.17990909,3.584962501,2.321928095,10.0768156,4.857980995,2.584962501,3.459431619,8.22881869,2.584962501,5.321928095,1.584962501,7,8.625708843,7.87036472,3.169925001,4.807354922,2.807354922,1.584962501,7.95419631,4.807354922,2.584962501,8.005624549,2.807354922,2.321928095,8.665335917,5.209453366,8.344295908,7.451211112,0,5.930737338,6,4.392317423
MUC16,13.49747765,14.35885721,9.981567282,11.57506646,13.10819772,8.184875343,12.69108919,7.434628228,10.50581155,1,8.816983623,14.00632608,9.614709844,4,12.0454184,5.129283017,2.584962501,12.61585949,12.46173522,12.81157539,13.21173623,4.459431619,11.39285404,10.42626475,11.48431942,9.407267764,10.76818432,12.08580438,12.49710336,10.59991284,11.5526691,11.63934071,13.41890673,13.24911345,11.87305955,11.80332392,8.495855027,11.14720492,10.86031105,10.62388149,7.761551232,11.44759986,6.807354922,7.46760555,12.33007655,11.48028532,5.882643049,11.41732512,10.35645197,15.96605476,10.39767463,6.672425342,8.005624549,12.69501074,13.67860014,13.4812949,13.550867,9.269126679,9.415741768,13.50866138,14.13161585,4.087462841,7.189824559,11.30777003,11.00351791,11.18549492,11.51717725,6.392317423,2.807354922,4,9.854868383,12.66266838,11.69957245,12.82833486,12.99435344,5.209453366,9.939579214,10.63390341,6.807354922,9.991521846,0,9.243173983,1.584962501,4.754887502,9.11113567,10.60269887,3.700439718,12.18487534,3.700439718,12.29433356,8.409390936,11.37721053,9.535275377,12.14688684,7.169925001,12.42731284,10.45532722,4.857980995,4.087462841,10.35974956,7.321928095,12.80574387,0,12.26707927,7.14974712,12.40992124,5.044394119,11.2467406,11.93073734,1,1,2,8.14974712,1,0,15.19802291,12.8519442,4.321928095,6.554588852,14.39466365,9.209453366,7.912889336,8.942514505,4.754887502,9.505811554,7.845490051,10.99576715,6.129283017,6.475733431,9.560332834,11.27437815,13.60037755,4.523561956,12.4343676,10.8917837,13.4604559,10.39767463,10.37612539,12.06272077,12.9403136,15.1304499,8.14974712,12.30149619,13.66777684,5.209453366,12.48381578,11.20151134,13.09176594,7.17990909,6.339850003,7.348728154,12.43853198,14.44417372,4.523561956,7.087462841,8.851749041,14.67804989,11.45429929,6.169925001,9.654636029,11.13699111,12.14942959,9.398743692,5.977279923,12.52086418,9.503825738,7.936637939,2.807354922
PADI1,13.18549492,14.56539963,11.95637616,12.2911707,13.08663385,7.257387843,12.35287105,6.918863237,9.779719355,0,4.087462841,11.13121391,6.189824559,3.584962501,14.07070797,11.84392105,1,13.03634535,12.60177079,9.068778278,13.36673201,6.523561956,12.40992124,13.41943355,9.503825738,6.321928095,9.871905238,10.30947635,12.67815996,11.15291858,13.79482197,12.16867212,9.908392621,12.87459719,13.01035327,13.29347165,6.14974712,9.87036472,8.724513853,7.22881869,12.87382857,9.407267764,7.357552005,8.965784285,9.257387843,7.73470962,4.700439718,9.231221181,7.894817763,12.55050632,11.46403515,7.17990909,4.523561956,12.45043803,11.14465824,13.89330153,12.19444908,12.38909352,7.851749041,11.38424412,11.11178774,11.50729912,7.303780748,11.46301341,12.33539035,6.599912842,11.84901407,7.971543554,5.392317423,6.672425342,11.29289676,12.79603961,13.25797706,6.727920455,13.9332296,7.14974712,13.02825143,9.77478706,9.403012024,10.20823436,0,11.29289676,5.169925001,12.76217438,11.14465824,8.900866808,1.584962501,9.661778098,9.074141463,11.49635449,7.665335917,11.70173964,11.41045135,14.0557061,7.076815597,10.37829486,11.71467483,8.885696373,3.584962501,9.453270634,9.577428828,6.189824559,8.21916852,13.0617087,11.64520808,12.50531536,6.768184325,10.45018025,9.296916207,1,2,0,4.459431619,7.8008999,4.857980995,11.74903138,11.89935692,2.321928095,13.15576694,13.71080643,10.6128685,8.447083226,9.967226259,9.59058705,7.076815597,6.459431619,10.27844946,10.84784036,7.076815597,12.47345209,4.584962501,10.36413466,12.46964182,10.88798213,10.857981,8.980139578,12.73597904,10.30720081,10.67065625,13.16537811,13.31061278,6.303780748,5.727920455,11.67419227,9.929258409,10.83051521,12.33901487,12.67815996,6.754887502,12.57056729,11.7561393,12.84509796,13.32150537,3.321928095,3.584962501,6.918863237,12.32333629,8.479780264,9.893301531,10.19352536,9.187352073,13.55602699,10.6329952,11.24555271,8.665335917,8.103287808,11.08746284,13.7054164
