mRNA,TCGA-IB-A6UG-01A,TCGA-3A-A9IU-01A,TCGA-FB-A545-01A,TCGA-IB-AAUQ-01A,TCGA-HV-A5A3-01A,TCGA-IB-7897-01A,TCGA-HV-AA8V-01A,TCGA-HV-A5A5-01A,TCGA-M8-A5N4-01A,TCGA-3A-A9IJ-01A,TCGA-HZ-8637-01A,TCGA-IB-AAUN-01A,TCGA-IB-AAUW-01A,TCGA-IB-7888-01A,TCGA-2L-AAQA-01A,TCGA-RB-A7B8-01A,TCGA-2L-AAQM-01A,TCGA-2J-AABE-01A,TCGA-IB-7889-01A,TCGA-IB-A6UF-01A,TCGA-F2-A8YN-01A,TCGA-F2-A44H-01A,TCGA-YH-A8SY-01A,TCGA-3A-A9IC-01A,TCGA-HZ-A4BK-01A,TCGA-Z5-AAPL-01A,TCGA-H6-A45N-01A,TCGA-HZ-A4BH-01A,TCGA-F2-A7TX-01A,TCGA-Q3-A5QY-01A,TCGA-F2-A44G-01A,TCGA-HZ-A49G-01A,TCGA-HZ-8005-01A,TCGA-HZ-8001-01A,TCGA-LB-A7SX-01A,TCGA-HV-A5A6-01A,TCGA-HZ-8003-01A,TCGA-IB-AAUS-01A,TCGA-HZ-A77P-01A,TCGA-US-A77E-01A,TCGA-IB-7890-01A,TCGA-LB-A9Q5-01A,TCGA-IB-7644-01A,TCGA-2J-AABT-01A,TCGA-2J-AAB1-01A,TCGA-HZ-7920-01A,TCGA-3A-A9IL-01A,TCGA-2J-AABI-01A,TCGA-IB-7647-01A,TCGA-IB-A5SS-01A,TCGA-S4-A8RO-01A,TCGA-IB-A5ST-01A,TCGA-HZ-7918-01A,TCGA-XD-AAUI-01A,TCGA-IB-AAUO-01A,TCGA-PZ-A5RE-01A,TCGA-2J-AABA-01A,TCGA-HV-A5A4-01A,TCGA-3A-A9IZ-01A,TCGA-XD-AAUL-01A,TCGA-IB-7886-01A,TCGA-S4-A8RM-01A,TCGA-HZ-A49H-01A,TCGA-HZ-8636-01A,TCGA-IB-AAUU-01A,TCGA-IB-7885-01A,TCGA-2J-AABO-01A,TCGA-HZ-A8P1-01A,TCGA-2J-AABV-01A,TCGA-US-A77G-01A,TCGA-US-A774-01A,TCGA-HZ-7919-01A,TCGA-2J-AABU-01A,TCGA-IB-7651-01A,TCGA-HZ-8315-01A,TCGA-2L-AAQL-01A,TCGA-IB-7893-01A,TCGA-FB-A7DR-01A,TCGA-FB-AAPS-01A,TCGA-IB-AAUP-01A,TCGA-3A-A9IS-01A,TCGA-3A-A9I7-01A,TCGA-2J-AABP-01A,TCGA-HV-A7OL-01A,TCGA-F2-6879-01A,TCGA-FB-A4P6-01A,TCGA-HV-A7OP-01A,TCGA-HZ-7922-01A,TCGA-FB-AAPU-01A,TCGA-3A-A9IX-01A,TCGA-HZ-8317-01A,TCGA-3A-A9J0-01A,TCGA-FB-A4P5-01A,TCGA-3E-AAAZ-01A,TCGA-3E-AAAY-01A,TCGA-H6-8124-01A,TCGA-2L-AAQI-01A,TCGA-HZ-A8P0-01A,TCGA-3A-A9I5-01A,TCGA-YB-A89D-01A,TCGA-2J-AABH-01A,TCGA-IB-7646-01A,TCGA-US-A776-01A,TCGA-IB-A5SO-01A,TCGA-FB-AAQ0-01A,TCGA-RB-AA9M-01A,TCGA-IB-A5SP-01A,TCGA-HZ-A77Q-01A,TCGA-IB-7654-01A,TCGA-3A-A9IN-01A,TCGA-3A-A9IV-01A,TCGA-3A-A9IR-01A,TCGA-IB-AAUV-01A,TCGA-HZ-7289-01A,TCGA-FB-AAPP-01A,TCGA-IB-A7LX-01A,TCGA-IB-A7M4-01A,TCGA-3A-A9IO-01A,TCGA-US-A779-01A,TCGA-2L-AAQE-01A,TCGA-FB-AAQ6-01A,TCGA-2J-AABK-01A,TCGA-HV-AA8X-01A,TCGA-IB-AAUM-01A,TCGA-H8-A6C1-01A,TCGA-F2-7273-01A,TCGA-FB-AAPY-01A,TCGA-FB-A78T-01A,TCGA-IB-8126-01A,TCGA-Q3-AA2A-01A,TCGA-HZ-8002-01A,TCGA-IB-A5SQ-01A,TCGA-HZ-A49I-01A,TCGA-HZ-7926-01A,TCGA-IB-AAUR-01A,TCGA-FB-A5VM-01A,TCGA-FB-AAQ3-01A,TCGA-2J-AABR-01A,TCGA-XN-A8T5-01A,TCGA-IB-8127-01A,TCGA-3A-A9IH-01A,TCGA-XD-AAUG-01A,TCGA-IB-7891-01A,TCGA-HZ-7925-01A,TCGA-2L-AAQJ-01A,TCGA-IB-7887-01A,TCGA-FB-AAQ1-01A,TCGA-S4-A8RP-01A,TCGA-FB-AAPQ-01A,TCGA-YY-A8LH-01A,TCGA-HZ-A77O-01A,TCGA-FB-AAPZ-01A,TCGA-FB-AAQ2-01A,TCGA-LB-A8F3-01A,TCGA-IB-7645-01A,TCGA-HZ-A9TJ-01A,TCGA-2J-AAB6-01A,TCGA-2J-AABF-01A,TCGA-XD-AAUH-01A,TCGA-2J-AAB9-01A,TCGA-OE-A75W-01A,TCGA-2J-AAB4-01A,TCGA-IB-7652-01A,TCGA-3A-A9I9-01A,TCGA-XN-A8T3-01A,TCGA-IB-7649-01A,TCGA-2J-AAB8-01A,TCGA-3A-A9IB-01A
PGC,8.17990909,15.52894242,7.864186145,1,3.700439718,8.654636029,3.584962501,7.348728154,10.66533592,1.584962501,11.61010206,14.94713465,17.20607953,16.58541738,14.04865715,12.93902818,1.584962501,13.78616751,9.652844973,5.614709844,11.13891172,7.531381461,8.214319121,10.75238065,6.807354922,5.832890014,7.499845887,9.01402047,5.321928095,4.523561956,10.59058705,7.118941073,2.321928095,9.531381461,7.924812504,8.87036472,8.558420713,4.754887502,14.35452489,12.39473063,6.930737338,12.74273048,18.55654722,11.86920825,18.69827397,4.247927513,1,0,14.04311275,8.189824559,9.781359714,11.9068906,9.681238412,9.642051693,9.965784285,4.95419631,4.459431619,8.108524457,13.96316703,5.614709844,4.906890596,10.57270023,18.71057777,9.5980525,8.761551232,10.09539702,9.426264755,11.90876788,11.86959384,17.02849966,11.0721326,6.658211483,0,8.885696373,14.24978012,10.12928302,4.807354922,14.50021946,5.807354922,7.451211112,0,16.06900914,1.584962501,8.092757141,12.7477734,4.754887502,14.39566801,5.087462841,9.47370575,11.033423,12.80130419,6.62935662,5.169925001,14.99541385,13.79786414,9.972979786,7.888743249,17.91012153,5.321928095,9.955649908,12.73576755,5.321928095,0,19.19506456,11.94434603,3.700439718,10.92703717,8.348728154,13.73280339,0,0,1,5.614709844,2.584962501,1.584962501,6.768184325,8.527477006,4.459431619,15.86901542,1.584962501,8.159871337,15.55311927,14.66055307,13.92314175,15.15596453,8.665335917,14.18874337,14.92295599,13.38059635,9.677719642,12.22370008,3.906890596,15.19633317,8.413627929,8.447083226,4.459431619,9.941047606,7.820178962,7.693486957,5.781359714,9.686500527,16.17182183,13.89415461,8.438791853,13.733545,15.54015832,5.491853096,13.0721326,11.55889898,10.89935692,9.824958741,5.857980995,1,7.721099189,12.96668569,11.43045255,10.16490693,10.74819285,6.357552005,5.857980995,11.23780747,12.16647695,17.89063241,12.26707927,4.906890596,11.10852446,10.65642486,4.321928095
NPSR1,0,2.807354922,3.459431619,0,5.426264755,4.906890596,6.491853096,7.417852515,8.361943774,0,1.584962501,10.88722062,5.554588852,8.194756854,9.344295908,8.836050355,0,1,3,2,2.807354922,1,2.584962501,0,2,4.64385619,1,0,4.459431619,0,9.560332834,7.531381461,3.169925001,6.491853096,4.906890596,3.169925001,2.807354922,6.539158811,5.64385619,9.400879436,3.584962501,9.622051819,9.357552005,8.906890596,10.58308277,2.321928095,1,0,2.584962501,8.948367232,9.985841937,2,6.491853096,6.64385619,3,7.330916878,9.743151394,6.06608919,0,9.236014192,2.807354922,11.1692987,2,1.584962501,2.321928095,2.807354922,5.554588852,9.584962501,4.523561956,8.689997971,5.857980995,10.58965115,0,10.76652891,4,8.54689446,1,7.118941073,6.044394119,0,1,7.129283017,0,9.588714636,9.665335917,8.076815597,1.584962501,8.033423002,8.909893084,3.807354922,6,6.06608919,7.721099189,2,8.611024797,4.700439718,10.42311591,7.129283017,1,9.712527,9.529430554,5.700439718,2.321928095,4.857980995,10.85720347,0,10.97799537,8.108524457,4.584962501,2.584962501,0,0,0,3.700439718,1,2.321928095,5.554588852,1,9.537218401,1,8.044394119,2.584962501,4.754887502,5.754887502,6.658211483,2.584962501,6.50779464,5.357552005,2.807354922,9.129283017,1.584962501,1,5.129283017,3.906890596,0,3,9.364134655,4.584962501,7.826548487,2.807354922,10.97441459,6,3.906890596,9.13442632,9.330916878,1.584962501,1,6.392317423,8.54689446,10.42731284,1,5.64385619,11.90048948,1,1.584962501,0,6.977279923,8.531381461,6.475733431,2.807354922,8.055282436,5.357552005,10.23959853,6.247927513,1.584962501,8.262094845,4.906890596,5.930737338
PRSS2,20.305779,16.61905931,11.25325658,11.99753235,5.807354922,9.159871337,11,14.13803176,5.392317423,1.584962501,8.581200582,18.77708512,18.20663762,16.53278205,15.78927891,11.14911199,5.459431619,15.2021621,18.89048398,16.44004185,12.65329295,19.08031789,10.51865316,11.38640142,15.37368083,4,13.78739247,10.09275714,18.48807548,7.139551352,14.48198858,18.52178061,13.11471839,13.55374927,6.95419631,8.927777962,21.08690591,12.2629757,15.39097501,7.169925001,8.566054038,20.36411862,10.14593215,7.74819285,14.56254057,12.31910758,8.845490051,6.459431619,13.28800089,7.14974712,12.3459596,12.72706956,19.87050771,15.50059295,13.67650808,7.523561956,6.044394119,10.33091688,13.90782954,14.32565681,12.00457162,10.21310422,18.37405033,13.59968043,14.86829205,12.45789384,17.09911148,13.16223396,21.85830547,17.73160409,18.50939229,15.21272435,6.375039431,15.56039255,16.56258529,15.76274537,9.729620744,14.1552926,14.31811909,11.12799432,3.169925001,13.13282101,2.584962501,8.577428828,16.07162995,16.42983169,4.95419631,17.82594012,9.30833903,19.18131,20.81959597,11.07280253,15.10496724,15.76471612,16.61712305,10.14593215,16.61154358,14.62719187,10.74399286,11.90839262,17.54882191,8.214319121,14.70352512,12.04848687,12.53770375,10.80735492,16.0278844,10.02513956,19.96377946,0,5.209453366,1.584962501,13.41600578,17.63107756,12.78708632,10.74483384,13.83910535,14.8110736,12.28800089,8.82336724,14.39700607,16.39553414,11.85252951,21.16013671,14.92230565,20.5955161,13.93792548,18.54049133,20.33580794,13.26985719,17.06406908,8.625708843,11.70476824,17.41634398,10.18858885,7.924812504,14.65172443,17.51257073,8.527477006,16.88841031,11.98797452,11.67242534,19.89885524,6,15.4700233,11.52991853,14.3818133,14.73730016,15.16828037,13.91129835,19.95154228,15.67256346,4.700439718,20.20705246,10.64475759,8.383704292,12.24436384,15.8343229,7.383704292,18.42775069,10.62388149,14.18997895,18.77139275,19.96424638,17.52311778,16.18617229,9.317412614,16.60330759
PPY,14.38606456,13.54242735,5.64385619,11.4604559,5.044394119,10.16113188,9.084808388,9.887220615,1,2.321928095,10.83605036,9.581200582,17.25557265,11.1376316,8.294620749,6.321928095,0,6.988684687,16.31870167,13.64520808,6.044394119,14.57736982,3,12.09143539,12.8255551,1,11.18053081,8.475733431,16.2453113,4.087462841,12.40434329,9.027905997,11.46607646,10.31741261,9.321928095,6.727920455,10.83526092,12.75697323,15.64199527,7.727920455,9.843921051,12.32699117,11.94141447,0,14.85096815,12.23810614,9.259743264,8.558420713,11.033423,4.169925001,8.103287808,3,12.62136509,9.558420713,13.56176526,15.30912104,9.719388821,9.837627933,5.044394119,7.988684687,13.81568349,4.523561956,17.94871513,11.8753654,8.113742166,13.32544601,11.38640142,6.087462841,15.23907637,14.42495357,9.599912842,14.70320065,1,8.011227255,14.24071681,18.58953046,6.442943496,6.442943496,14.96641533,14.68052436,13.82267041,10.00982862,4,8.28077077,6.044394119,10.95782756,0,5.977279923,5.95419631,18.4868036,10.94763694,4.087462841,6.321928095,7.011227255,16.06777046,14.74315139,11.45429929,13.66266838,8.124121312,8.139551352,9.419960178,4.584962501,14.44501485,13.28626896,9.686500527,8.353146825,7.994353437,2,15.77615026,8.764871591,1,0,17.50547044,0,7.044394119,11.04234338,6.044394119,8.413627929,10.64925618,11.81338039,8.348728154,10.49984589,7.189824559,10.08613623,12.67264633,13.2467406,16.56939579,9.147204925,15.19329434,0,8.129283017,10.01402047,13.7809498,10.08214904,16.37036388,17.07060316,14.35017952,7.651051691,3.807354922,13.39432871,10.27029533,9.147204925,13.23900176,7.238404739,9.74819285,4.247927513,11.79603961,8.174925683,9.187352073,8.375039431,7.022367813,5.700439718,9.813781191,10.68035952,15.51221577,7.948367232,11.31628153,7.8008999,10.90086681,13.86853322,6.918863237,9.831307244,9.927777962,17.45659506,8.224001674,10.36632221,0,8.098032083
SPRR3,4.247927513,11.70043972,10.56985561,5.977279923,9.592457037,3.807354922,11.20273604,6.894817763,4.64385619,0,4.807354922,10.62479546,6.375039431,0,12.96000193,7.87036472,0,11.19167615,10.34207467,4.087462841,11.63481105,1.584962501,10.28886607,8.199672345,5.807354922,6.64385619,9.379378367,7.189824559,8.005624549,3.169925001,10.10590851,8.164906927,4.523561956,13.43788209,5.727920455,2.584962501,5.321928095,9.471675214,5.857980995,5.977279923,8.22881869,8.980139578,5.044394119,2,10.06608919,10.20457114,3.584962501,2.584962501,2,6.209453366,9.997179481,1,2,7.768184325,4,6.741466986,10.51274046,5.523561956,5.247927513,10.98868469,7.209453366,8.129283017,1,9.797661526,4.087462841,4.087462841,8.379378367,11.3426303,4.321928095,3.169925001,1,6.741466986,5.672425342,3.169925001,7.087462841,9.199672345,2.584962501,10.89935692,6.022367813,0,0,5.426264755,0,9.826548487,5.832890014,6.321928095,0,5.857980995,9.419960178,8.724513853,8.980139578,8.370687407,6.087462841,11.03204573,8.005624549,6.942514505,11.62844554,9.364134655,7.108524457,8.169925001,11.23002044,7.330916878,0,10.62113611,8.016808288,11.07146236,9.649256178,8.022367813,6.442943496,0,0,0,3.459431619,0,0,8.977279923,6.539158811,0,6.857980995,7.960001932,9.645658432,6.442943496,10.26678654,5.169925001,5.285402219,5.857980995,3.584962501,7.741466986,3.169925001,6.832890014,3.584962501,10.25266543,1,10.666224,10.79116289,12.37395266,10.37177664,5.64385619,8.238404739,3,9.677719642,5.584962501,8.479780264,7.988684687,11.46147945,5.321928095,9.445014846,9.677719642,9.453270634,9.324180547,8.527477006,5.930737338,12.91867693,3,4.95419631,2.321928095,11.75447,6.303780748,6.554588852,4.523561956,8.098032083,7.491853096,9.084808388,3.807354922,1,4.459431619,9.355351096,4.906890596
SPRR1A,1,7.366322214,6.832890014,2.807354922,9.005624549,1.584962501,10.87651695,4.169925001,2.321928095,0,2.321928095,5.781359714,4.64385619,6.700439718,11.24079133,8.73809226,0,9.187352073,7.033423002,1,8.539158811,0,8.864186145,6.741466986,4.321928095,4.087462841,5.700439718,4.64385619,6.247927513,2.807354922,7.888743249,6.807354922,2,9.01402047,8.174925683,2.807354922,0,5.247927513,4.459431619,4.392317423,5.129283017,8.442943496,6.189824559,2,8.396604781,8.727920455,2.321928095,2,1,4.459431619,8.700439718,1.584962501,1.584962501,7.129283017,3.584962501,3.169925001,4.392317423,8.339850003,5.906890596,8.005624549,3.169925001,8.459431619,0,8.781359714,2.321928095,6.044394119,5.832890014,7.64385619,3.906890596,6,2,5.087462841,4.087462841,0,4.807354922,4.906890596,0,5,2.321928095,0,0,2.584962501,0,10.22158712,3.700439718,4.459431619,0,2.584962501,10.01541505,3.906890596,6.894817763,6.523561956,7.592457037,10.37395266,3.459431619,5.247927513,10.62479546,10.19105921,7.076815597,8.005624549,7.820178962,6.392317423,0,7.794415866,6.108524457,6.06608919,7.768184325,7.108524457,12.62456702,0,0,0,2.584962501,0,1.584962501,5.807354922,3.584962501,0,3.807354922,4.459431619,6.882643049,6.832890014,10.14210706,6,6.584962501,4.247927513,1,5.906890596,1,6.539158811,1.584962501,4.857980995,1,9.52160044,8.405141463,8.438791853,6.375039431,7.312882955,3.321928095,0,7.727920455,4.906890596,4.584962501,8.8008999,9.055282436,9.961449694,5.832890014,7.761551232,9.06608919,5.727920455,8.471675214,5.459431619,9.038918989,2,3,1.584962501,5.882643049,3.321928095,2.321928095,4.392317423,4.95419631,7.665335917,10.13314221,3.321928095,1.584962501,2.321928095,7.592457037,4.700439718
EPYC,6.108524457,9.375039431,6.044394119,9.005624549,5.672425342,3.459431619,9.705632387,7.303780748,5.930737338,0,5.977279923,5.426264755,0,3.321928095,7,9.224001674,0,8.851749041,6.459431619,1.584962501,9.636624621,7.276124405,11.8917837,12.02063276,2.807354922,2.807354922,9.366322214,8.276124405,5.392317423,7.768184325,6.475733431,5.247927513,10.67771964,8.092757141,5.523561956,9.187352073,7.977279923,8.661778098,4.459431619,9.095397023,10.51865316,3.584962501,10.4419067,2.807354922,6.044394119,2,2.807354922,5.523561956,3.700439718,8.483815777,5.087462841,5.64385619,4.754887502,4.247927513,7.918863237,11.44811631,8.214319121,7.714245518,1.584962501,4.700439718,8.942514505,7.700439718,3.906890596,9.930737338,7.426264755,10.10590851,7.700439718,4.807354922,0,0,8.900866808,7.285402219,8.312882955,5.169925001,9.48984796,5.95419631,13.11423036,5.64385619,10.25029842,9.577428828,0,11.10852446,3.321928095,4.392317423,9.417852515,1.584962501,0,9.252665432,6.475733431,6.754887502,2.807354922,8.951284715,6.64385619,9.296916207,3.321928095,9.008428622,3,8.243173983,3.459431619,9.505811554,3,8.276124405,0,11.34651373,7.238404739,3.584962501,0,8.857980995,9.131856961,0,9.055282436,0,11.9068906,0,0,7.74819285,8.17990909,0,0,6.62935662,7.348728154,1.584962501,5,2.807354922,4.247927513,5.209453366,7.189824559,4.392317423,5.906890596,6.942514505,5.882643049,4.64385619,3,6.087462841,7.209453366,7.06608919,8.82336724,2.807354922,4.584962501,9.368506462,5.087462841,11.38424412,6,10.4655664,3.459431619,11.49934763,3.169925001,8.562242424,6,4,3.459431619,2.584962501,5.807354922,3.906890596,9.28077077,1,6.906890596,2.807354922,3.584962501,2,6.977279923,1,5.044394119,3.807354922,5.64385619,2.807354922,8.321928095,7.781359714
SERPINB3,8.658211483,9.030667136,5.977279923,3.169925001,12.12509054,4.392317423,8.73470962,3.906890596,8.599912842,0,2,5.285402219,2.584962501,3.459431619,4.523561956,6.62935662,0,7.21916852,4.169925001,11.23122118,9.271463028,3.321928095,4.321928095,6.781359714,5.426264755,8.082149041,7.721099189,2,2.807354922,2.584962501,10.1382718,4.087462841,4,9.236014192,7.876516947,7.434628228,2.584962501,8.927777962,5.727920455,9.394462695,6.392317423,6.614709844,7.055282436,4.087462841,0,9.159871337,0,1.584962501,3.700439718,8.335390355,9.586839788,4.64385619,2.321928095,4.169925001,9.654636029,10.45738088,4.321928095,9.364134655,6.584962501,8.189824559,9.005624549,1,4.754887502,4.523561956,5.614709844,8.577428828,2.807354922,5.672425342,6.247927513,5.392317423,4.321928095,11.85681455,7.033423002,5.044394119,4.392317423,1.584962501,3.700439718,1.584962501,4.754887502,2,1,2.807354922,6.741466986,7.994353437,7.651051691,5.087462841,0,9.189824559,4.087462841,4,8.103287808,0,4.169925001,2,5.426264755,9.577428828,9.411510988,8.46760555,6.339850003,8.348728154,3.169925001,6.129283017,0,8.06608919,9.581200582,4.169925001,10.02236781,9.656424863,2,0,0,0,1.584962501,0,0,7.562242424,8.820178962,1.584962501,0,7.936637939,9.665335917,1,3.807354922,6.554588852,7.033423002,3.700439718,6.686500527,9.315149562,5.357552005,8.751544059,3.906890596,4.64385619,1,0,5.95419631,10.04848687,5.459431619,5.906890596,0,4.64385619,6.321928095,4.087462841,5.906890596,4.087462841,4.247927513,7.303780748,5.169925001,7.366322214,5.357552005,11.08414401,4.584962501,4.807354922,7.17990909,3.807354922,1.584962501,2,9.631177056,7.139551352,1,4.906890596,3.321928095,4.087462841,2.321928095,5.087462841,8.997179481,8.430452552,2.584962501,11.68781306
CGB5,6.857980995,4.857980995,8.022367813,11.46913302,3.321928095,8.330916878,5.64385619,0,3.169925001,0,0,5.247927513,1,3.169925001,9.850186838,4.321928095,0,5.044394119,6.392317423,11.34429591,3.807354922,3.321928095,8.204571144,2.807354922,10.52649924,0,6.409390936,6.169925001,5.209453366,8.409390936,4,3.321928095,8.988684687,8.791162889,3.584962501,7.011227255,0,2.321928095,5.459431619,1.584962501,12.81598363,2,1,2.321928095,7.417852515,4.906890596,1,0,3.321928095,4.857980995,10.53527538,2.321928095,0,9.929258409,11.83011903,7.011227255,6.169925001,1.584962501,3.169925001,2.584962501,7.383704292,2,6.409390936,6.442943496,3.321928095,1.584962501,6.108524457,3.700439718,4.95419631,5.392317423,9.221587121,9.741466986,6.672425342,2.321928095,7.820178962,7.73470962,5.584962501,0,1,7.139551352,0,9.945443836,1.584962501,6.285402219,2.584962501,2.321928095,0,6.672425342,1,8.744833837,3.169925001,3.459431619,6.857980995,5.044394119,2.807354922,11.25856603,6.426264755,4.247927513,3.459431619,3.906890596,5.321928095,4,1.584962501,8.721099189,2,4,2.321928095,3,5.95419631,0,0,0,0,6.044394119,0,8.082149041,6.569855608,1,4.807354922,10.41045135,2.584962501,6.169925001,1.584962501,1,5.357552005,0,5.614709844,4.95419631,2.321928095,5.832890014,8.861086906,2.321928095,8.348728154,8.73470962,4.321928095,7.781359714,5.64385619,0,4.64385619,9.2644426,9.388017285,5.169925001,4.459431619,2.807354922,5.169925001,3.321928095,6.475733431,1.584962501,0,8.696967526,13.04967841,7.965784285,11.72834571,0,5.614709844,7.266786541,13.05748412,6.781359714,3.700439718,9.909893084,7.475733431,5.727920455,6.523561956,3,12.77622739,2.321928095,4.64385619,7.011227255
B3GNT6,5,8.857980995,1.584962501,1.584962501,9.453270634,2,9.905387005,6.599912842,6.965784285,0,3,5.087462841,9.566054038,8.388017285,10.12023788,2.807354922,0,8.174925683,8.6794801,6.06608919,11.20945337,3,5.285402219,4.700439718,8.618385502,5,7.6794801,9.131856961,3.459431619,2,7.942514505,7.366322214,1,7.988684687,2,6.459431619,6.409390936,6.672425342,10.40194612,6.285402219,0,8.199672345,7.087462841,5.247927513,7.813781191,4.392317423,1,2.807354922,3.459431619,8.588714636,10.35314683,6.409390936,6.044394119,8.471675214,8.388017285,11.08148344,4.459431619,4.64385619,10.73809226,12.57056729,9.727920455,11.08945048,9.50779464,7.74819285,6.022367813,3,9.493855449,9.495855027,1.584962501,9.567956075,4.321928095,9.379378367,5.426264755,5.392317423,9.554588852,3,3.459431619,9.71596199,0,2.321928095,0,7.189824559,1,7.515699838,10.71938882,4.321928095,2,8.787902559,9.430452552,6.857980995,9.368506462,3.906890596,6.658211483,7.539158811,7.266786541,5.95419631,6.599912842,9.717676423,1.584962501,10.48179943,9.262094845,6.339850003,13.30506422,10.01820018,7.339850003,5.044394119,10.49285462,9.885696373,9.754887502,1,0,0,2.584962501,13.97217208,13.70195618,6.539158811,10.73978061,0,7.562242424,7.17990909,7.238404739,1,7.06608919,6.62935662,6.95419631,7.658211483,5.459431619,10.59339112,6.189824559,9.326429487,4.700439718,1.584962501,10.47978026,9.339850003,9.162391329,6.569855608,4.169925001,8.392317423,1,7.409390936,11.79522797,4.95419631,8.098032083,4.754887502,11.67904019,7.994353437,4.247927513,10.83762793,10.22761594,5.209453366,7.330916878,7.87036472,3.459431619,1.584962501,6.882643049,3.584962501,3.459431619,6.930737338,7.539158811,3.459431619,8.724513853,9.651051691,5.285402219,4.906890596,4.584962501,8.438791853,4.247927513,3.906890596
