methylation450,TCGA-IB-A6UG-01A,TCGA-3A-A9IU-01A,TCGA-FB-A545-01A,TCGA-IB-AAUQ-01A,TCGA-HV-A5A3-01A,TCGA-IB-7897-01A,TCGA-HV-AA8V-01A,TCGA-HV-A5A5-01A,TCGA-M8-A5N4-01A,TCGA-3A-A9IJ-01A,TCGA-HZ-8637-01A,TCGA-IB-AAUN-01A,TCGA-IB-AAUW-01A,TCGA-IB-7888-01A,TCGA-2L-AAQA-01A,TCGA-RB-A7B8-01A,TCGA-2L-AAQM-01A,TCGA-2J-AABE-01A,TCGA-IB-7889-01A,TCGA-IB-A6UF-01A,TCGA-F2-A8YN-01A,TCGA-F2-A44H-01A,TCGA-YH-A8SY-01A,TCGA-3A-A9IC-01A,TCGA-HZ-A4BK-01A,TCGA-Z5-AAPL-01A,TCGA-H6-A45N-01A,TCGA-HZ-A4BH-01A,TCGA-F2-A7TX-01A,TCGA-Q3-A5QY-01A,TCGA-F2-A44G-01A,TCGA-HZ-A49G-01A,TCGA-HZ-8005-01A,TCGA-HZ-8001-01A,TCGA-LB-A7SX-01A,TCGA-HV-A5A6-01A,TCGA-HZ-8003-01A,TCGA-IB-AAUS-01A,TCGA-HZ-A77P-01A,TCGA-US-A77E-01A,TCGA-IB-7890-01A,TCGA-LB-A9Q5-01A,TCGA-IB-7644-01A,TCGA-2J-AABT-01A,TCGA-2J-AAB1-01A,TCGA-HZ-7920-01A,TCGA-3A-A9IL-01A,TCGA-2J-AABI-01A,TCGA-IB-7647-01A,TCGA-IB-A5SS-01A,TCGA-S4-A8RO-01A,TCGA-IB-A5ST-01A,TCGA-HZ-7918-01A,TCGA-XD-AAUI-01A,TCGA-IB-AAUO-01A,TCGA-PZ-A5RE-01A,TCGA-2J-AABA-01A,TCGA-HV-A5A4-01A,TCGA-3A-A9IZ-01A,TCGA-XD-AAUL-01A,TCGA-IB-7886-01A,TCGA-S4-A8RM-01A,TCGA-HZ-A49H-01A,TCGA-HZ-8636-01A,TCGA-IB-AAUU-01A,TCGA-IB-7885-01A,TCGA-2J-AABO-01A,TCGA-HZ-A8P1-01A,TCGA-2J-AABV-01A,TCGA-US-A77G-01A,TCGA-US-A774-01A,TCGA-HZ-7919-01A,TCGA-2J-AABU-01A,TCGA-IB-7651-01A,TCGA-HZ-8315-01A,TCGA-2L-AAQL-01A,TCGA-IB-7893-01A,TCGA-FB-A7DR-01A,TCGA-FB-AAPS-01A,TCGA-IB-AAUP-01A,TCGA-3A-A9IS-01A,TCGA-3A-A9I7-01A,TCGA-2J-AABP-01A,TCGA-HV-A7OL-01A,TCGA-F2-6879-01A,TCGA-FB-A4P6-01A,TCGA-HV-A7OP-01A,TCGA-HZ-7922-01A,TCGA-FB-AAPU-01A,TCGA-3A-A9IX-01A,TCGA-HZ-8317-01A,TCGA-3A-A9J0-01A,TCGA-FB-A4P5-01A,TCGA-3E-AAAZ-01A,TCGA-3E-AAAY-01A,TCGA-H6-8124-01A,TCGA-2L-AAQI-01A,TCGA-HZ-A8P0-01A,TCGA-3A-A9I5-01A,TCGA-YB-A89D-01A,TCGA-2J-AABH-01A,TCGA-IB-7646-01A,TCGA-US-A776-01A,TCGA-IB-A5SO-01A,TCGA-FB-AAQ0-01A,TCGA-RB-AA9M-01A,TCGA-IB-A5SP-01A,TCGA-HZ-A77Q-01A,TCGA-IB-7654-01A,TCGA-3A-A9IN-01A,TCGA-3A-A9IV-01A,TCGA-3A-A9IR-01A,TCGA-IB-AAUV-01A,TCGA-HZ-7289-01A,TCGA-FB-AAPP-01A,TCGA-IB-A7LX-01A,TCGA-IB-A7M4-01A,TCGA-3A-A9IO-01A,TCGA-US-A779-01A,TCGA-2L-AAQE-01A,TCGA-FB-AAQ6-01A,TCGA-2J-AABK-01A,TCGA-HV-AA8X-01A,TCGA-IB-AAUM-01A,TCGA-H8-A6C1-01A,TCGA-F2-7273-01A,TCGA-FB-AAPY-01A,TCGA-FB-A78T-01A,TCGA-IB-8126-01A,TCGA-Q3-AA2A-01A,TCGA-HZ-8002-01A,TCGA-IB-A5SQ-01A,TCGA-HZ-A49I-01A,TCGA-HZ-7926-01A,TCGA-IB-AAUR-01A,TCGA-FB-A5VM-01A,TCGA-FB-AAQ3-01A,TCGA-2J-AABR-01A,TCGA-XN-A8T5-01A,TCGA-IB-8127-01A,TCGA-3A-A9IH-01A,TCGA-XD-AAUG-01A,TCGA-IB-7891-01A,TCGA-HZ-7925-01A,TCGA-2L-AAQJ-01A,TCGA-IB-7887-01A,TCGA-FB-AAQ1-01A,TCGA-S4-A8RP-01A,TCGA-FB-AAPQ-01A,TCGA-YY-A8LH-01A,TCGA-HZ-A77O-01A,TCGA-FB-AAPZ-01A,TCGA-FB-AAQ2-01A,TCGA-LB-A8F3-01A,TCGA-IB-7645-01A,TCGA-HZ-A9TJ-01A,TCGA-2J-AAB6-01A,TCGA-2J-AABF-01A,TCGA-XD-AAUH-01A,TCGA-2J-AAB9-01A,TCGA-OE-A75W-01A,TCGA-2J-AAB4-01A,TCGA-IB-7652-01A,TCGA-3A-A9I9-01A,TCGA-XN-A8T3-01A,TCGA-IB-7649-01A,TCGA-2J-AAB8-01A,TCGA-3A-A9IB-01A
cg05088151,0.631094892,0.02278477,0.418540182,0.03100044,0.174077373,0.52830649,0.033073228,0.544720758,0.597589225,0.02437832,0.631092402,0.578113222,0.528944143,0.529347751,0.709047943,0.45947705,0.019933291,0.029473012,0.502461817,0.3741012,0.026534104,0.026735326,0.525784661,0.58925414,0.02360573,0.558313815,0.551820465,0.037567451,0.020778323,0.023030419,0.558570636,0.521127142,0.077455805,0.374136256,0.29865454,0.578897636,0.49966722,0.515704697,0.032150257,0.024859623,0.028650922,0.52034123,0.516040894,0.521136,0.038494934,0.026928577,0.068664818,0.559097843,0.317776303,0.650317535,0.632531472,0.592434871,0.025882705,0.431555406,0.303257887,0.619937971,0.041449593,0.604834843,0.035580369,0.025352612,0.692032825,0.033496914,0.468963307,0.620391386,0.025847769,0.499370828,0.042226064,0.026989167,0.035920719,0.577067937,0.614292224,0.545325908,0.044122786,0.413088503,0.630943949,0.027465969,0.030463606,0.02979885,0.495143416,0.028058413,0.026976014,0.027112377,0.348816571,0.230447604,0.737648338,0.029821301,0.026920815,0.371088355,0.510007332,0.030862703,0.545813969,0.531947383,0.586454464,0.025869249,0.030202284,0.622307507,0.024925051,0.023220101,0.022204744,0.025214999,0.029386248,0.598646488,0.032488205,0.032515283,0.170380009,0.02482427,0.024952308,0.587672976,0.0224934,0.551999123,0.090400334,0.621609459,0.023610605,0.024532944,0.94626742,0.025662085,0.023492082,0.023925692,0.583902946,0.024677778,0.036733559,0.375123616,0.492885965,0.029486762,0.022155417,0.034789597,0.030816688,0.540772236,0.601991162,0.552978781,0.030407255,0.484629433,0.028827175,0.02845811,0.027413341,0.031067973,0.458587635,0.49250812,0.516310641,0.030963415,0.565163197,0.506162556,0.577393905,0.024209936,0.536741262,0.673308049,0.043133063,0.527282211,0.043061146,0.714771136,0.574338627,0.02770003,0.505917657,0.443803196,0.534054008,0.497018597,0.303579735,0.092912239,0.511037556,0.494678115,0.714226969,0.02580575,0.474777935,0.021774411,0.235895743,0.543867224,0.038335198,0.381959223
cg23429746,0.54756228,0.022647157,0.474875359,0.067344886,0.025311334,0.587822073,0.026022392,0.589437352,0.577611063,0.023893317,0.651304401,0.586826787,0.548814594,0.586575565,0.027333775,0.519736532,0.021038817,0.02931754,0.563171638,0.028717546,0.031166828,0.02832785,0.553156292,0.610129109,0.02146608,0.566073866,0.582763819,0.024734685,0.027591305,0.025231321,0.553193648,0.62065674,0.544128977,0.47740345,0.466744106,0.569745756,0.596498356,0.592081488,0.027956933,0.025136174,0.510060013,0.551006462,0.584324671,0.530516369,0.030427374,0.028428622,0.445519719,0.557789672,0.026967546,0.48689104,0.647851591,0.578038143,0.030375627,0.52539593,0.441824861,0.560016095,0.033449793,0.722686917,0.107227267,0.024314893,0.301369658,0.027471217,0.589448133,0.623082193,0.03259624,0.523132187,0.345893185,0.684161867,0.027858437,0.452097516,0.5809283,0.603083682,0.029111137,0.527035321,0.642407228,0.047049912,0.028218366,0.410457296,0.573307483,0.054888037,0.022723589,0.024275124,0.399733144,0.027945223,0.028000452,0.197436102,0.019452655,0.499196556,0.59836888,0.087371124,0.600217889,0.034131436,0.580431843,0.024887077,0.024845042,0.642576804,0.052596373,0.02778597,0.519632601,0.042036843,0.027447306,0.589080165,0.025179771,0.026210005,0.034704114,0.022769959,0.027118541,0.533332285,0.030099734,0.574201484,0.169518914,0.263813132,0.025588143,0.020724745,0.084348338,0.277395229,0.025455849,0.025902361,0.708466136,0.028279508,0.260929666,0.041587153,0.533022767,0.028559261,0.022775939,0.035778335,0.026608824,0.595572654,0.620918108,0.560999955,0.02818305,0.552795746,0.153816039,0.381293397,0.022779611,0.026456373,0.544897539,0.544340405,0.509130792,0.051572988,0.532744537,0.557067842,0.607672353,0.0363905,0.58625935,0.589955356,0.024267985,0.521825392,0.191874269,0.484758474,0.557955919,0.023784377,0.471826199,0.504576085,0.626204832,0.054630556,0.021848681,0.031654046,0.570903451,0.519117576,0.030405739,0.025217627,0.678015305,0.037485353,0.026472948,0.548313493,0.029129606,0.51897585
cg13120260,0.511431146,0.014735797,0.454135003,0.026511765,0.013094631,0.490105723,0.019881427,0.536578791,0.578243498,0.012941571,0.561444977,0.56531574,0.530840269,0.549384398,0.01644388,0.516254322,0.012371219,0.023412677,0.563082134,0.014269979,0.021423258,0.178597768,0.525618422,0.576179471,0.021530219,0.547973906,0.541234417,0.018493025,0.014369149,0.022960223,0.547349177,0.504627128,0.171390096,0.403617692,0.516842319,0.5729858,0.498226696,0.526576949,0.016275561,0.442510269,0.199332141,0.44658104,0.527830268,0.520631016,0.386152207,0.019150329,0.277095267,0.598996107,0.531608362,0.421630774,0.346158805,0.519838586,0.017327068,0.493339236,0.36552695,0.570043582,0.027280327,0.595302927,0.019511092,0.017186242,0.015049506,0.020961012,0.555282813,0.575475982,0.017153382,0.463831383,0.021913419,0.020343184,0.020658428,0.589227707,0.528869867,0.560907126,0.024001738,0.495522268,0.588368791,0.081004218,0.015234352,0.017313711,0.512532316,0.05923161,0.014810401,0.016232267,0.446084889,0.014520769,0.013956497,0.116958347,0.014864761,0.382240391,0.613424742,0.023139086,0.539471014,0.01997345,0.572166623,0.022649927,0.044589962,0.612618947,0.014990398,0.013864058,0.015486154,0.38787463,0.3288175,0.472506789,0.011517625,0.013739346,0.024345422,0.015544982,0.014288021,0.524686385,0.015150986,0.458443401,0.245990953,0.123558284,0.01685181,0.013854411,0.149691512,0.017089219,0.014331748,0.013313224,0.566376509,0.016215188,0.588836517,0.415776781,0.536769022,0.018155626,0.015007016,0.021463274,0.019452374,0.452054376,0.578923853,0.416222219,0.018148407,0.509314722,0.01672214,0.018674675,0.011794963,0.014906017,0.54505157,0.470596202,0.483579277,0.015888833,0.634130027,0.467261917,0.509592707,0.013015231,0.624689748,0.59547746,0.241652774,0.541020405,0.033151586,0.511050147,0.554480735,0.015025507,0.495027689,0.450393738,0.530514737,0.028906982,0.023574686,0.021769563,0.464262012,0.411471039,0.630441892,0.014289954,0.554093638,0.012756648,0.019459773,0.553732628,0.240204374,0.476960492
cg27341866,0.475449829,0.391383316,0.300096828,0.423660913,0.139537233,0.775384928,0.373861699,0.367301441,0.268163578,0.956684758,0.63924474,0.212710217,0.945192556,0.922727357,0.196521081,0.914110307,0.83086789,0.651697837,0.584712481,0.445553941,0.928499851,0.929499523,0.312309471,0.371198008,0.24548871,0.553040886,0.392817941,0.323448166,0.444975646,0.770424557,0.336832972,0.427887824,0.230866568,0.593596444,0.183530556,0.152189784,0.616106432,0.807180382,0.315706314,0.195441175,0.279663837,0.771878999,0.179198101,0.253137104,0.192275009,0.925869853,0.913816152,0.738132938,0.528131197,0.244793371,0.128025617,0.541563451,0.603347045,0.244220115,0.937072465,0.185011623,0.412853252,0.171121859,0.74295178,0.381315107,0.189238891,0.257057245,0.921363614,0.363797358,0.24916707,0.470839061,0.232296904,0.887717368,0.910656285,0.311399054,0.399581464,0.344902007,0.557261773,0.263158591,0.48561518,0.509914663,0.371599088,0.893638624,0.502982649,0.525288922,0.959031805,0.234337531,0.925757653,0.259044236,0.203698881,0.939801626,0.940801883,0.303687503,0.909243097,0.579694021,0.722597533,0.380401668,0.472636824,0.796160537,0.519870847,0.757863834,0.943611226,0.186143826,0.93001841,0.881935578,0.86653325,0.283068097,0.055456548,0.284080814,0.851830427,0.562961494,0.118479555,0.314731797,0.284379868,0.949617736,0.893036604,0.884770676,0.888780859,0.207572928,0.025006002,0.316251527,0.13712909,0.918139046,0.5364501,0.945800091,0.912248969,0.844950488,0.949228202,0.804022636,0.269556776,0.803417409,0.553229284,0.768553416,0.683369502,0.841942217,0.823913713,0.929837568,0.93368277,0.447621334,0.964439056,0.219762766,0.201635753,0.793028077,0.922999993,0.289176072,0.317977398,0.543297106,0.707762697,0.520500106,0.239843322,0.326967546,0.297331039,0.893736471,0.901863721,0.28451378,0.304773158,0.137259223,0.641704917,0.944198454,0.546811612,0.335593011,0.151308024,0.233594135,0.884328388,0.405802329,0.166437462,0.208971882,0.945065333,0.919046542,0.506839785,0.557334979,0.270290872,0.93732494
cg27488875,0.190429632,0.039640188,0.534679731,0.040955367,0.087751102,0.578335043,0.034516699,0.544338281,0.595786601,0.029087577,0.709444046,0.539538182,0.646538077,0.63956977,0.15113588,0.601767814,0.021633779,0.106753451,0.585602895,0.098149172,0.040087297,0.033188001,0.449132315,0.679298458,0.138882263,0.664292317,0.602017562,0.044797547,0.042082207,0.125234904,0.607326028,0.595102789,0.558984413,0.310620327,0.351811306,0.469704566,0.534647031,0.69231309,0.040240479,0.075632089,0.30429804,0.525183629,0.640572846,0.691538741,0.159453387,0.065517345,0.150619578,0.890718543,0.390812568,0.513774736,0.769430153,0.694635501,0.12944629,0.570483572,0.422393615,0.595012389,0.066035052,0.612572799,0.040631851,0.288136877,0.314543258,0.078610106,0.580831858,0.580045935,0.2751022,0.523064438,0.149029928,0.038926853,0.064567882,0.048766511,0.562731191,0.535945034,0.034090826,0.482069687,0.63596439,0.062661553,0.034962134,0.110091349,0.537135752,0.068349963,0.031615433,0.147193794,0.369069475,0.060583378,0.718044707,0.146604044,0.055396815,0.412727291,0.436268758,0.047083709,0.579668769,0.26949864,0.653571347,0.04665266,0.060158725,0.618438249,0.332672686,0.048406116,0.030098289,0.472134125,0.123075805,0.553779356,0.049016182,0.090485876,0.036543454,0.064027849,0.033504357,0.568281917,0.033571012,0.535331618,0.044926839,0.136338397,0.105188484,0.371224857,0.875593521,0.041571549,0.04938102,0.033134016,0.721063636,0.164109816,0.524028111,0.283680624,0.570365294,0.050061967,0.06371037,0.138148118,0.038843224,0.427298506,0.6319134,0.634169683,0.061388792,0.683826952,0.120354854,0.081984673,0.257876973,0.113949392,0.629500302,0.759386294,0.564831529,0.682904491,0.609531423,0.611716485,0.629970491,0.33323181,0.764776822,0.598330545,0.037991926,0.675302537,0.404176637,0.752502264,0.457571684,0.038024907,0.402758197,0.483046713,0.609048019,0.035163027,0.078513475,0.084355184,0.601213908,0.518749046,0.560897377,0.03318839,0.593490654,0.035204375,0.073176933,0.598272673,0.070681275,0.446333721
cg04026379,0.465483828,0.025550215,0.438504262,0.041354546,0.023060588,0.522913379,0.02200665,0.548838044,0.504355811,0.024158071,0.60087032,0.695114618,0.499067478,0.57422728,0.610093723,0.426288738,0.021822025,0.022568471,0.56387311,0.219384126,0.082079121,0.026779045,0.531416656,0.623521823,0.02235645,0.49909739,0.516995833,0.020464218,0.017908161,0.0232458,0.543032738,0.533808802,0.034031249,0.024522476,0.36129918,0.563034502,0.49915136,0.527361389,0.426416929,0.019208312,0.542412491,0.539527293,0.564409869,0.522233128,0.477792539,0.034301611,0.10404634,0.56703026,0.026737735,0.394444783,0.357989764,0.500042857,0.02085913,0.466782798,0.312057885,0.577419173,0.028613077,0.564724881,0.026638527,0.029006211,0.021230312,0.036271985,0.539872125,0.596442607,0.04272681,0.578677006,0.512279742,0.103632312,0.022180673,0.560798467,0.47729719,0.55421325,0.022759507,0.465455791,0.509931044,0.021995976,0.052460932,0.320851877,0.520970865,0.228622261,0.020983575,0.022461923,0.305200574,0.022948737,0.092913293,0.023647389,0.031704588,0.407558905,0.577465359,0.017829798,0.537876529,0.021610483,0.557518971,0.01929187,0.020845722,0.638760681,0.02328913,0.02165675,0.019077941,0.026325447,0.024219433,0.021416967,0.020646667,0.016065031,0.050285168,0.022069323,0.016767601,0.493488753,0.023182578,0.416534312,0.118404963,0.376635626,0.022316176,0.019006656,0.031042363,0.042762651,0.01694,0.018457226,0.550605613,0.028719079,0.521675303,0.029556866,0.548147865,0.047022309,0.018404953,0.025170413,0.023635264,0.397649063,0.586945647,0.379673197,0.024653659,0.450252289,0.578587619,0.025862997,0.072925133,0.01843628,0.527783903,0.543030276,0.453485184,0.667509455,0.521344192,0.485622596,0.514805632,0.051046621,0.655791711,0.55819317,0.156723685,0.504549505,0.034969758,0.438126148,0.42692712,0.026172059,0.37495805,0.485778763,0.543642213,0.031477531,0.020731295,0.030616263,0.527378271,0.462245833,0.623559154,0.018295291,0.494718928,0.018946647,0.391232614,0.52414484,0.192278068,0.446139755
cg05527869,0.583072216,0.307391466,0.754002425,0.028112108,0.612958721,0.040160375,0.024146853,0.316322381,0.256748171,0.037522005,0.140654503,0.684261234,0.038928284,0.408469097,0.483086792,0.480486682,0.015487078,0.025761593,0.462927671,0.621595948,0.202610349,0.279658629,0.193134699,0.019238839,0.021054643,0.094980032,0.028176428,0.27838272,0.110170729,0.026911933,0.550528211,0.391796663,0.586114599,0.394751699,0.264169385,0.102454347,0.137315516,0.070213406,0.522443865,0.609663105,0.638852964,0.258838992,0.410919185,0.020519296,0.623547093,0.022332836,0.014863483,0.76225046,0.47259219,0.023879923,0.7331302,0.019578442,0.028148915,0.025797821,0.5259993,0.517236586,0.53262052,0.018911744,0.018530322,0.127692393,0.023087118,0.680289357,0.023830204,0.022410957,0.512224089,0.211557241,0.02168877,0.712638137,0.023305861,0.316157977,0.135221453,0.06991905,0.497256327,0.577234275,0.024921542,0.58951999,0.022486377,0.525816685,0.399428094,0.033948775,0.033719608,0.265546229,0.024417082,0.539725446,0.632577319,0.294763017,0.952919531,0.651433282,0.395174017,0.034194626,0.405308967,0.024989176,0.266967447,0.537672086,0.398176751,0.640545072,0.417946668,0.359045361,0.493126922,0.400054957,0.46808558,0.487495556,0.355290259,0.276382435,0.026552077,0.026875985,0.719704528,0.367840733,0.546494608,0.061495498,0.028617086,0.039450788,0.018308314,0.597342879,0.965930507,0.661784251,0.389871978,0.017419582,0.510227649,0.159830798,0.233052705,0.32642572,0.573758489,0.050364813,0.37271787,0.062882611,0.428559432,0.63734787,0.20519197,0.565034064,0.121579065,0.311725121,0.570219309,0.445026046,0.140548651,0.024313426,0.611377307,0.026391482,0.146719994,0.690360923,0.587544129,0.037656623,0.034925603,0.411275346,0.62016639,0.022069021,0.588989011,0.048081238,0.661467154,0.47058991,0.026241993,0.778395304,0.480187052,0.424098454,0.290152081,0.659296933,0.644567955,0.354809383,0.051134172,0.024800929,0.668356972,0.019644197,0.023147487,0.487007658,0.211030293,0.098706386,0.224010615,0.482037351
cg02471897,0.662951897,0.22161098,0.791620967,0.104838284,0.683814649,0.068473474,0.071993287,0.323677619,0.040775897,0.024385938,0.072208763,0.734664705,0.034697904,0.482032957,0.604548541,0.31439317,0.016815491,0.089521983,0.5311251,0.768692892,0.51944787,0.035573558,0.289565919,0.608491246,0.441362825,0.128325748,0.071079356,0.518957626,0.305930413,0.31030316,0.389055709,0.505939567,0.59224311,0.498617357,0.548547324,0.026229074,0.237789652,0.319427288,0.574479837,0.735631491,0.49006927,0.267981906,0.040127305,0.113447488,0.715007451,0.076305754,0.021412704,0.688441874,0.547849933,0.064053976,0.670788565,0.187197557,0.080471078,0.469424247,0.309261988,0.739846981,0.433812871,0.721705318,0.058825085,0.037682447,0.720282532,0.649494047,0.063343463,0.562702537,0.493395584,0.485756648,0.620797645,0.730032685,0.234792383,0.617913756,0.238698955,0.2998881,0.031372997,0.526666616,0.070298627,0.683106317,0.06263818,0.593151407,0.0319384,0.519379716,0.022026467,0.101434808,0.024157974,0.667153145,0.669123854,0.28609194,0.864577892,0.129448564,0.400757527,0.179190878,0.042845417,0.719654277,0.388892075,0.588098135,0.393423195,0.618898553,0.560110371,0.37939674,0.439152157,0.084572493,0.558009573,0.659323997,0.034393987,0.432420924,0.55563989,0.081370401,0.748602929,0.475035157,0.137534565,0.02651292,0.025693763,0.030394052,0.032920457,0.157491256,0.934000393,0.611278418,0.46433029,0.025755476,0.050444393,0.422133627,0.707029735,0.519206757,0.70191556,0.206533505,0.058240631,0.253137379,0.613801179,0.703552346,0.354523661,0.34212693,0.335363156,0.468586008,0.070428893,0.603128874,0.229544372,0.650472818,0.253384665,0.031042891,0.405331322,0.707133566,0.597567084,0.034002567,0.415821304,0.529974124,0.666511258,0.266421276,0.600959374,0.029469671,0.585335823,0.695987743,0.107183579,0.791040183,0.534524841,0.534481097,0.53749165,0.759373177,0.385454774,0.528302703,0.042898408,0.046423073,0.76561103,0.030108038,0.029729335,0.030053366,0.027654697,0.390960305,0.639856297,0.028495942
cg11199770,0.630440057,0.56059894,0.627144775,0.026705883,0.015480777,0.27822552,0.02300378,0.450584974,0.019942297,0.02402202,0.026924248,0.402277132,0.018177545,0.02890898,0.672745031,0.577293823,0.014593428,0.023127655,0.032758749,0.679849102,0.583742078,0.03044803,0.018474081,0.614845928,0.019201838,0.196975966,0.018360091,0.569498487,0.018480116,0.106813818,0.017842282,0.507166237,0.541627624,0.502216514,0.704723152,0.017725948,0.028247159,0.022529675,0.381956361,0.619368471,0.640870422,0.418819515,0.02464633,0.020434516,0.66491436,0.025233971,0.017044191,0.759486414,0.499828419,0.020847257,0.578425175,0.108732213,0.050713206,0.288676926,0.479890315,0.022373786,0.561642547,0.709424253,0.039772449,0.022789683,0.688909367,0.722885903,0.040510385,0.02304225,0.658113876,0.021611593,0.752201204,0.72260189,0.019127885,0.019335014,0.4427729,0.545393386,0.644613013,0.020007571,0.56281739,0.612595845,0.560326588,0.323710412,0.022120897,0.593483605,0.017727022,0.030715905,0.019187958,0.020953556,0.547657094,0.213415208,0.912159763,0.705782824,0.63647304,0.032639586,0.024619542,0.02816723,0.058050787,0.018948794,0.424619696,0.015866533,0.029498708,0.485334372,0.349173747,0.578119845,0.714889393,0.572278524,0.018375816,0.018687157,0.735556978,0.020680309,0.021161741,0.486800496,0.430081834,0.01581152,0.020884643,0.018633782,0.0218721,0.021711466,0.971732747,0.700585994,0.02482217,0.017257766,0.61447113,0.58648598,0.697944511,0.026690838,0.504468968,0.275873384,0.021348656,0.193916029,0.022852156,0.018805959,0.406701524,0.587798454,0.029929656,0.027424928,0.627525541,0.497351464,0.022829403,0.5618823,0.557198239,0.03050501,0.285562519,0.699303617,0.631635632,0.02697514,0.546902898,0.061668813,0.588009756,0.024736058,0.553957523,0.647977381,0.029480552,0.30093652,0.129452914,0.80083225,0.670957085,0.522795588,0.43505101,0.023805252,0.020473748,0.627078779,0.079576039,0.037148133,0.01957681,0.591812626,0.023893969,0.017173293,0.365992217,0.502547999,0.578496501,0.562539244
cg07875818,0.670223496,0.107154591,0.736747226,0.418966615,0.645510714,0.15523852,0.28291716,0.522747532,0.089827231,0.065835129,0.308356311,0.724462686,0.113164057,0.640063029,0.806245106,0.100993434,0.083503174,0.554045174,0.68975774,0.741335341,0.36254764,0.067465376,0.058570102,0.642095108,0.521194645,0.179973457,0.052734261,0.080947271,0.089774059,0.238900033,0.464335553,0.585335205,0.457014431,0.570501413,0.573034833,0.054215415,0.08367211,0.427742302,0.193831037,0.611604541,0.515312297,0.221955884,0.110706661,0.168471669,0.777371602,0.09003815,0.082599934,0.804969778,0.635965471,0.746675376,0.782743868,0.226937831,0.09535494,0.118821257,0.318325092,0.244138971,0.624109242,0.695972446,0.085211687,0.075091485,0.609603266,0.649099577,0.082846745,0.482380325,0.226466318,0.108300055,0.775894313,0.678437851,0.243239624,0.596058501,0.400990333,0.360861905,0.092423076,0.237929494,0.092213167,0.769381588,0.396643057,0.58749539,0.42425228,0.54752256,0.057369734,0.163499311,0.089725151,0.539019159,0.523597258,0.464923795,0.076113309,0.077538632,0.184213233,0.175286732,0.565769776,0.719017635,0.467054051,0.550047535,0.537483656,0.082569985,0.134537056,0.109565816,0.406091012,0.621397583,0.690055534,0.687563054,0.102139658,0.182094461,0.653197749,0.485786608,0.123021789,0.390282489,0.082756174,0.067430382,0.111932167,0.054808224,0.105136189,0.208665317,0.933485442,0.063171399,0.106103065,0.066873053,0.211798476,0.765053751,0.772130407,0.443091731,0.086662079,0.082339307,0.416307356,0.378850714,0.119523355,0.606371709,0.466167348,0.098238842,0.30888546,0.69415551,0.539341429,0.602121667,0.472794755,0.702807614,0.609500878,0.292742652,0.4107203,0.758171169,0.480519625,0.090072732,0.640646065,0.080781781,0.732448539,0.173386397,0.693727518,0.578725634,0.613794366,0.629143843,0.078703543,0.109275592,0.632621248,0.14313564,0.591105843,0.541201293,0.160259857,0.408875549,0.078799313,0.105641807,0.769622795,0.140343049,0.081128495,0.439165395,0.39586377,0.53905349,0.624169099,0.141757758
